Question;Difficulty of the question;Thematic Group of the question;Answer of OpenBioLLM-70B;Evaluation (questioner reviewer);Evaluation (second reviewer)
A 90-year-old multimorbid patient presents with osseous lymphogenous metastasized urothelial carcinoma. He has thoracic and scapular pain, ct -graphically there is an osseous metastasis scapular with soft tissue infiltration. The patient also has a painful metastasis from the 12th to the 10th  rib. The tumorboard recommends a palliative analgetic approach. What do you do?;2,33;Palliative;Given the patient's age, multimorbidities, and the presence of osseous metastases with soft tissue infiltration, the recommended palliative analgetic approach is appropriate. This typically involves pain management with medications such as opioids, along with best supportive care. Additionally, external beam radiation therapy may be considered for symptom control of the painful metastases.;4;3
73-year-old patient with primary metastatic salivary duct carcinoma (cerebral, pulmonary, hepatic, lymphogenic and osseous).Primary metastatic tumor, the patient was treated with systemic therapy 2 cycles of chemotherapy with carboplatin, paclitaxel. Dizziness and unsteady gait due to increasing headaches. What is your suspected diagnosis and what is the most important therapy against these symptoms?;2,33;Palliative;The suspected diagnosis is cerebral metastases. The most important therapy against these symptoms is whole-brain radiation therapy.;4;2
60-year-old female patient with breast cancer and brain metastases develops increasing dizziness and headaches during whole-brain irradiation with 10 x 3 Gy at the 6th fraction. What do you do next?;2,00;Palliative;You should evaluate the patient for increased intracranial pressure and consider a treatment break or a change in treatment regimen.;3;4
If whole-brain radiotherapy is being performed, how to chose between 5x4 or 10x3 Gy?;2,67;Palliative;The choice between 5x4 or 10x3 Gy for whole-brain radiotherapy depends on the patient's performance status and the extent of extracranial disease.;2;4
Follow-up image of PET DOTATOC for a meningioma reveiled an incidental finding in the pancreas. Histology after biopsy revealed “Monotonous epitheloid neoplasia”. What are the differential diagnosis for this and how will ongoing immunohistochemistry help here?;4,00;Central Nervous System;Differential diagnoses for monotonous epitheloid neoplasia in the pancreas include pancreatic neuroendocrine tumor (NET), acinar cell carcinoma, and solid pseudopapillary neoplasm. Immunohistochemistry can help differentiate these by assessing the expression of markers such as chromogranin A, synaptophysin (for NET), acinar cell markers (such as trypsin or amylase), and beta-catenin (for solid pseudopapillary neoplasm).;5;5
What is the incidence and 5 year prognosis of grade 3 pleomorphic xanthoastrocytoma?;3,67;Central Nervous System;The incidence of grade 3 pleomorphic xanthoastrocytoma is less than 1% of all brain tumors. The 5-year survival rate for patients with this type of tumor is approximately 80%.;4;3
For a young patient being treated with radiotherapy for medulloblastoma to a dose of up to 59.4 Gy, if radiotherapy is not possible on the Thursday of the last week of treatment (5 days were planned Mo-Fr) - is it better to compensate with a different dose on Friday, catch up on Monday or just ignore the 1 missing fraction?;2,00;Central Nervous System;It is better to compensate with a different dose on Friday.;4;4
What dose to choose for a single-fraction treatment (stereotactic radiosurgery) of a schwanomma?;2,00;Central Nervous System;The appropriate dose for a single-fraction treatment (stereotactic radiosurgery) of a schwannoma is typically 12-13 Gy.;4;5
What is the difference in contouring guidelines and dose-fractionation schedules between ASTRO and ESTRO regarding the radiotherapeutic treatment of glioblastoma?;2,67;Central Nervous System;ASTRO and ESTRO have different contouring guidelines and dose-fractionation schedules for glioblastoma. ASTRO recommends a simultaneous integrated boost technique with 60 Gy to the gross tumor volume (GTV) and 30 Gy to the clinical target volume (CTV) in 30 fractions. ESTRO suggests a sequential boost with 40 Gy to the CTV in 20 fractions followed by a boost of 20 Gy to the GTV in 10 fractions.;4;2
"Different strategies and definitions are in use when talking about major perineural invasion in squamous cell carcinoma of the head and neck area (skin or mucosal SCC). Some use a specific diameter of nerve infiltration (e.g. 0.1mm), some use the definition of ""named nerves"". Can you provide me the level of evidence for these different approaches with the corresponding literature (author, year, PMID) or guidelines, respectively, to support these definitions and conventions in use?";4,00;Head and Neck;There are different strategies and definitions for major perineural invasion in squamous cell carcinoma of the head and neck, including the use of a specific diameter of nerve infiltration (e.g. 0.1mm) or the involvement of 'named nerves'. The level of evidence for these approaches can be found in various literature and guidelines. For example, the 8th edition of the AJCC Cancer Staging Manual defines perineural invasion as tumor invasion into the nerves with a diameter of 0.1mm or larger (PMID: 28230451). Additionally, the NCCN Guidelines for Head and Neck Cancers consider perineural invasion as involvement of named nerves (https://www.nccn.org/professionals/physician_gls/pdf/head-and-neck.pdf).;4;3
What percentage of radiation dose is absorbed in the bone of the scalp for the following scenario: superficial orthovoltage treatment with an energy of 80kV in the adjuvant setting of a cutaneous squamous cell carcinoma that has an estimated thickness of about 6mm soft tissue (skin, connective tissue) covering the bone?;3,33;Head and Neck;20% of the radiation dose is absorbed in the bone of the scalp.;1;4
What are common fractionation schedules for moderate hypofractionation (single doses >2.5 Gy) for a localized squamous cell carcinoma of the skin in the head and neck area treated with a linear accelerator? What about when treatment would be done at orthovoltage radiotherapy machine?;3,00;Head and Neck;For moderate hypofractionation using a linear accelerator, common fractionation schedules for localized squamous cell carcinoma of the skin in the head and neck area include 6 Gy x 5 fractions, 7 Gy x 4 fractions, and 8 Gy x 3 fractions. When using an orthovoltage radiotherapy machine, common fractionation schedules include 5 Gy x 6 fractions, 6 Gy x 5 fractions, and 7 Gy x 4 fractions.;4;1
What are possible reasons for a reduced quality of a planning CT in the head and neck region, when a mask was used to reduce motion artefacts and acquisition settings were not changed from a last planning CT that was in good quality?;3,00;Head and Neck;Possible reasons for a reduced quality of a planning CT in the head and neck region, despite using a mask to reduce motion artefacts and keeping the acquisition settings the same as a previous good quality scan, could include patient movement during the scan, incorrect positioning of the patient, or technical issues with the CT scanner itself.;4;3
What are the dose constraints for the testis in a patient age 65 years ? how does the age (and corresponding decline in testosterone production) affect the radiosensitivity of the testis (only considering hormonal production, not fertility) in concrete numbers?;4,33;Genitourinary;The dose constraint for the testis in a patient aged 65 years is 2.5-3 Gy. As men age, the production of testosterone declines, which can affect the radiosensitivity of the testis. However, the specific effect on hormonal production due to radiation is not quantifiable in concrete numbers.;4;4
Does a patient with breast cancer after breast conserving surgery, with one positive node from sentinel biopsy, but without an axillary dissection, need an adjuvant irradiation of the axilla?;2,67;Genitourinary;Yes, the patient should receive adjuvant irradiation of the axilla. This is because the presence of a positive sentinel lymph node indicates a higher risk of cancer spread to the axillary lymph nodes, and radiation therapy can help reduce this risk.;2;3
70 year old patient with light cell renal cell carcinoma on both sides right pt1a cN0 cM0 L0 V0 Pn0 G1 R0, left pT2a cN0 L0 V0 Pn0 G2 R0 presents to the urology consultation 2 years after a Da Vinci assisted partial kidney resection. A week ago, the CT thorax/abdomen showed a solitary, primarily metastasized, size-progressive lymph node. What are the next steps, what are the treatment options?;2,67;Genitourinary;The next steps for this patient would typically include further evaluation and treatment of the metastasized lymph node. Treatment options may include surgical resection, radiation therapy, or systemic therapy such as targeted therapy or immunotherapy, depending on the patient's overall health and other factors. It is important to discuss these options with the patient and develop an individualized treatment plan.;4;4
Is hydronephrosis a potential problem in bladder sparing radiotherapy?;2,67;Genitourinary;Yes, hydronephrosis can be a potential problem in bladder sparing radiotherapy. It is a condition where there is a swelling of a kidney due to a build-up of urine. This can occur as a side effect of radiation therapy to the bladder area, which may cause obstruction of the ureters and lead to hydronephrosis.;1;3
What is the tri-modal therapy for bladder cancer?;1,67;Genitourinary;The tri-modal therapy for bladder cancer consists of transurethral resection of the bladder tumor (TURBT), chemotherapy, and radiation therapy.;4;5
Should Pembrolizumab be discontinued during radiotherapy of a lung metastasis? If so, how many half-lives before and after radiotherapy should Pembrolizumab be paused?;3,00;Lung;Pembrolizumab should be discontinued during radiotherapy of a lung metastasis. It should be paused 3 half-lives before and after radiotherapy.;2;3
"How would you recommend to treat a 60-year old patient with a newly diagnosed oligometastatic lung cancer (adeno-Ca; ALK+, PD-L1 30%; T3 N1 M1; 3rd right rib)?";2,00;Lung;"The recommended treatment for a 60-year old patient with newly diagnosed oligometastatic lung cancer (adeno-Ca; ALK+, PD-L1 30%; T3 N1 M1; 3rd right rib) would be a combination of systemic therapy and local therapy.  Systemic therapy options include: 1. Targeted therapy with ALK inhibitors such as crizotinib, alectinib, or brigatinib. 2. Immunotherapy with pembrolizumab or nivolumab. 3. Chemotherapy with platinum-based doublet regimens.  Local therapy options include: 1. Radiation therapy to the primary tumor site and metastatic lesions. 2. Surgical resection of the primary tumor and metastatic lesions if feasible.  The choice of treatment will depend on various factors including the patient's overall health, performance status, and preferences. It is important to discuss the available options with the patient and develop an individualized treatment plan.";5;3
What techniques can be used to maximize treatment precision in peripheral lung lesions?;2,67;Lung;Several techniques can be used to maximize treatment precision in peripheral lung lesions, including respiratory gating, image-guided radiation therapy (IGRT), and stereotactic body radiation therapy (SBRT). These techniques help to ensure accurate delivery of radiation to the tumor while minimizing damage to surrounding healthy tissues.;4;3
Based on the pathogenesis of radiation-induced secondary cancers is it better to normofractionate (= single doses of around 2 Gy) or moderately hypofractionate (= single doses of around 3 Gy or higher) a patient with a Li-Fraumeni syndrome (p53 mutation) if radiotherapy has been deemed necessary?;3,67;Other;It is better to normofractionate a patient with Li-Fraumeni syndrome (p53 mutation) if radiotherapy has been deemed necessary. This is because normofractionation (single doses of around 2 Gy) is associated with a lower risk of radiation-induced secondary cancers compared to moderately hypofractionation (single doses of around 3 Gy or higher).;4;2
I have a patient with acute kidney failure where both prerenal and intrarenal aetiology are possible. How was it again possible to discern these two aetiologies based on the laboratory values (including sodium and kreatinin)?;3,33;Other;In prerenal acute kidney failure, the urinary sodium concentration is typically less than 20 mmol/L, while in intrinsic acute kidney failure, it is usually greater than 40 mmol/L. This difference can help distinguish between the two etiologies.;4;2
What is the life expectancy (median overall survival) for a patient that has refused the 5th line of chemotherapy after multifocal progression of his aggressive lymphoma (a PTLD) that was diagnosed 4 years ago and currently in an ECOG performance status of 1-2?;4,67;Other;The median overall survival for a patient with aggressive lymphoma who has refused further chemotherapy after multifocal progression is difficult to predict without specific details on the type and stage of lymphoma. However, generally, the prognosis for patients with aggressive lymphomas that have progressed after multiple lines of treatment is poor. It is important to consider individual patient factors, such as age, overall health, and response to previous treatments, in estimating life expectancy. It would be best to discuss this case with the patient's oncologist for a more accurate prediction.;4;4
After how many days after starting Pregabalin for neuropathic pain should increase of dose be considered if pain response is insufficient?;3,00;Other;Dose escalation of Pregabalin for neuropathic pain should be considered after 3 days if the pain response is insufficient.;4;4
In a patient with suspected tumorous mass in the area of C6 vertebra, a biopsy diagnosed a grade 3 chondrosarcoma. Subsequently, a two-stage resection was performed. However, after the second operation, a residual tumor remained in the area of the paravertebral muscles. The tumor board decided on adjuvant radiotherapy. What target dose should be aimed for? Should different doses be prescribed for different target volumes? Which organ-at-risk is the most relevant, and what constraint can be applied here?;3,33;Other;The target dose for adjuvant radiotherapy in this case should be 60-66 Gy. Different doses can be prescribed for different target volumes, with a higher dose for the gross tumor volume (GTV) and a lower dose for the clinical target volume (CTV) and planning target volume (PTV). The most relevant organ-at-risk in this case is the spinal cord, and a constraint of 45-50 Gy can be applied to it.;3;1
I have a 29 year old patient with a history of keloid formation at the right ear lobe after a piercing. In 2022 he received a resection with postoperative orthovolt radiotherapy of 4 x 4 Gy, total dose 16 Gy. Two years later, he now has a new keloid formation in the same location, planned for resection. What would be the ideal dose for repeat postoperative radiotherapy?;3,00;Other;The ideal dose for repeat postoperative radiotherapy for keloid formation after previous treatment is 3 x 5 Gy, total dose 15 Gy.;2;3
For a mentoring programme, what would be issues specific to radiation oncology compared to other medical disciplines?;4,33;Other;Radiation oncology requires a strong understanding of radiation physics, dosimetry, and treatment planning. It also involves managing side effects specific to radiation therapy.;5;4
How is weight loss grade 3 defined according to CTCAE v5.0?;2,00;Other;Weight loss grade 3 is defined as a loss of >20% of baseline body weight according to CTCAE v5.0.;5;5
I have a patient with metastasized (peritoneal, liver, lung) pancreatic cancer at relatively young age (57 years). Re-staging after 4 cycles of FOLFIRINOX showed stable disease/mixed response. Should a) the treatment be switched to Immunotherapy and b) Should this patient and his familiy have genetic councelling and screening for HNPCC?;3,33;Other;a) The treatment should not be switched to immunotherapy based on the current information provided. b) Yes, this patient and his family should consider genetic counseling and screening for HNPCC (Hereditary Non-Polyposis Colorectal Cancer) due to the young age at diagnosis and the presence of metastatic disease.;3;3
